KIC,TIC,Spectral_Residuals,R2_FFT
6231538,171090898,877094528.8255233,-138.95748604956367
6606229,63006029,6217800232.215742,-1.2180128916405701
6963490,271964023,
7300184,272708257,26491320.012876786,-1.177378092203957
7900367,271348878,2173699114.55654,-1244.6798407875958
7915515,268485512,1696375181.341912,-544.0331596006826
9851822,268387233,2799298481.9016213,-30.099708806201978
10350769,272078133,1074177647.2746642,-276.0966783750075
10355055, 
10415087,271878019,107965244.7633801,-2.201493757143376
11027806,417660696,,
11769929,27396935,16521949226.35226,-0.5382624270678917
12216817,27639466,13711767895.192142,-147.57112486094567
1849235,120761974,536462690.2635634,-5.2596215470109895
3648131,137483924,33321325.490272887,-0.9899189479301607
3965879,378012175,27378882.23524657,-1.463340679766726
4072890,184014237,1043427628.7588019,-1.4659640617113845
8264404,185058038,937719147.2087065,-34.691391649615525
8330102,185058529,55021348.73993656,-0.4107530619896087
8453431,268305223,888504811.466881,-113.12966965114032
8493159,159579441,1500374768.782011,-2.2406700098484458
8585472,269038198,501688716.70261294,-1.5591182783692283
8845312,239288923,319509110.73315334,-0.6099994375582376
9050337,239235401,1697452572.4928877,-946.0088370650566
4544967,120691259,486753065.0320497,-302.0067246120591
4569150,138424189,17132962.097387888,-0.4599821830058184
4577647,184165058,73399870.92774108,-0.7348233113804186
4940217,184296301,12929325.955489332,-1.7260326272369477
5108514,377908936,7664.41443421812,-0.9035741894230993
5358323,122446255,337113426.31965995,-1.7334873127278962
5900260,170244425,551842483.8885939,-43.8758388707517
9051991,239309341,1789817937.0009556,-2.6045265398177535
9306095,239277753,17435167.792057768,-0.9306385658219225
9368220,239287032,729914053.0423398,-39.30114513203244
9368524,239310669,1441269259.5992591,-1.1145198743797335
9649801,63129522,3092210248.1765103,-7.176278489147556
9775887,270854435,23499209.23499937,-1.409114190860786
9532219,270957217,1259314829.1631167,-1.1275100098760515
9594189,270957420,
9897710,271166082,749738592.6669418,-1.554454296836357
9717148,271165486,25719553.961320467,-0.9599363067733242
2581626,137817459,660626.4733621831,-0.8659649729224772
2972514,120971391,2353345.5367018394,-0.45164020826373297
3119295,137349576,4589984.807729129,-1.5287047299809267
3953144,137093521,823496.313995182,-0.2713790545618202
4036687,120416883,795825.4651600128,-0.6130153950736053
4066203,138478876,267392.5792439321,-0.018625059344205885
4243668,120573431,1792158.474272516,-0.40620770726847333
4374279,138477887,2986444.7012901567,-1.2032842868042408
4466691,137552644,2082668.503877876,-0.5209802437201083
4547067,121019462,442475.04065808735,-217.1829589043818
4651526,122603796,478229.7531712257,-5.312239015688881
4995588,120895453,345505.11537971685,-2.996887122227366
5027750,184296181,1087477.380248253,-1.15989633116964
5284701,377916766,675778.4107042244,-0.24066656045549517
5286485,138960995,679521.0996203088,-0.526865641169179
5353653,121864797,465678.25683708035,-11.514725986942492
5357882,122441468,350526.2198405886,-0.05870469267090672
5534340,137406555,537880.0702397795,-0.464210418092907
5707205,137556287,392355.969591173,-0.13608643423893851
5788165,122708315,561289.3304164615,-6.818108104714699
6304420,169085238,2122959.230723732,-1.4089025377436752
6442207,137211662,779233.903063854,-0.17546064846182063
6444630,137558846,
6778487,63122689,397692.6610508139,-0.017603574157415203
6836820,123315246,1999397.237265855,-3.686348605086187
6955650,270781184,1827430.8037177536,-0.6657423925042814
7048016,271959957,1259120.8842477163,-0.7291998105841351
7124161,270705780,7589860.112911754,-0.5568594938204996
7347529,158218581,2342460.886943671,-359.99039392130896
7521682,159180575,371763.9085080817,-0.6214643042816617
7601767,159180458,524081.004528319,-257.4225860593289
7617649,271261559,718129.7727050617,-1.2356512243141817
7668283,158170080,18338.02585598,-0.7802289778613716
7750215,159523535,759061.1635497583,-1.9491547019859388
7905603,272488230,4756.445780476128,-0.9433538076630317
7937097,123230546,3540385.526856716,-1.6652523169887115
7948091,158385112,280922.743233389,-0.10617327082005623
7984934,268605212,525109.1258326242,-1.0035207186951691
8052082,268160106,307196.4722646377,-0.3562981480629339
8087649,158629263,139830.5116161182,0.2683934183600748
8090059,158931236,1066869.1727033625,-0.9332789017722067
8144212,123410840,1549398.4260227368,0.10686685123037543
8150307,164884019,1692564.2866815007,-11.324658966235944
8245366,271968997,901199072.5006828,-3.8040670943789543
8248967,272718552,161829.4593664993,0.0987373592428803
8249829,273037722,1548784.4859844635,-12.790982619943833
8315263,272940294,195376.69409158395,-0.131224346001237
8393922,239290977,531238.7371921705,-0.08469701476221103
8516900,268158003,269796.83871115267,-0.2595609012345472
8648251,268609074,237963.3389418422,-0.21712830701135233
8649814,268928742,824753.3694977325,-1.2610340819382535
8960514,271043710,264488.5022943771,-0.41605550583222284
8963394,271664919,254499.2247430425,-0.4263742322760091
9075949,279912576,202434.84023302904,-0.47196183799732405
9077483,158274403,692918.258391085,-0.08710219459866275
9137819,164522837,3976048.148704717,-4.683218750323931
9202969,164654565,102819.88520322394,-0.08128058718106224
9214444,159302678,209345.09894200118,-1.1522595637815196
9364179,268612326,
9594857,271041674,757832505.7178154,-296.5784941992961
9614153,239311449,2538256.656844138,-0.786949322755133
9700322,158324703,1049330302.9384457,-83.5819960226892
9706609,159391201,323835.56409530854,-0.3830243672987115
9724292,272844734,901458.613166843,-2.067161450075303
9942562,158490507,770776.9078900074,-4.166516773397889
10451090,123494120,5940306036.428293,-0.229544800861202
11143576,27236348,349286.5472592022,-0.041574131013987214
11704101,399867394,2509308.609889136,-0.9196224972232825
11852985,48503928,64426616.323944986,-19.39062884449883
