KIC,TIC,MSE,Composite Function
6231538,171090898,2.728199734894088e-05,f(t) = 0.0008 * sin(2π * 12.2731 * t + -0.8781) + 0.8989 + 0.0001 * sin(2π * 14.7227 * t + 0.3337) + 0.1011
6606229,63006029,1.6054900944801757e-05,f(t) = 0.0003 * sin(2π * 3.5234 * t + 0.7509) + 0.0615 + 0.0003 * sin(2π * 4.1820 * t + 3.7925) + 0.0603 + 0.0007 * sin(2π * 4.8207 * t + 5.0931) + 0.1371 + 0.0021 * sin(2π * 6.4079 * t + 1.6559) + 0.4250 + 0.0003 * sin(2π * 6.8821 * t + -0.5423) + 0.0645 + 0.0013 * sin(2π * 7.8092 * t + 0.4562) + 0.2516
6963490,271964023,0.000430602,f(t) = 0.0008 * sin(2π * 6.7104 * t + -2.1786) + 0.0690 + 0.0067 * sin(2π * 7.1409 * t + -3.0080) + 0.5623 + 0.0026 * sin(2π * 7.5708 * t + -2.0344) + 0.2201 + 0.0018 * sin(2π * 11.3766 * t + 0.1886) + 0.1498
7300184,272708257,0.000451314,f(t) = 0.0024 * sin(2π * 11.6574 * t + 2.4430) + 0.8681 + 0.0004 * sin(2π * 20.7635 * t + 2.7854) + 0.1330
7900367,271348878,7.642231463172946e-06,f(t) = 0.0003 * sin(2π * 7.7889 * t + -2.8246) + 0.1686 + 0.0013 * sin(2π * 13.2494 * t + -3.5079) + 0.8314
7915515,268485512,9.722062779574335e-07,f(t) = 0.0001 * sin(2π * 12.1979 * t + 2.7378) + 0.2081 + 0.0000 * sin(2π * 12.5686 * t + 0.6892) + 0.0518 + 0.0000 * sin(2π * 12.8995 * t + -2.1090) + 0.0777 + 0.0000 * sin(2π * 14.4652 * t + -3.0704) + 0.0689 + 0.0000 * sin(2π * 14.7941 * t + 5.5575) + 0.0968 + 0.0000 * sin(2π * 15.1242 * t + -0.2302) + 0.4967
9851822,268387233,9.144940836427963e-06,f(t) = 0.0005 * sin(2π * 14.6513 * t + 1.8123) + 1.0000
10350769,272078133,2.0485713673638656e-06,f(t) = 0.0001 * sin(2π * 1.0093 * t + 1.5813) + 0.1475 + 0.0001 * sin(2π * 1.5662 * t + -2.6710) + 0.1702 + 0.0005 * sin(2π * 3.1318 * t + 2.2954) + 0.6822
10355055,273129116,1.5604714161203191e-06,f(t) = 0.0007 * sin(2π * 18.6817 * t + -1.2062) + 0.1820 + 0.0003 * sin(2π * 19.5760 * t + -1.6928) + 0.0847 + 0.0030 * sin(2π * 22.0843 * t + -0.1981) + 0.7333
10415087,271878019,0.000788751,f(t) = 0.0098 * sin(2π * 7.2323 * t + -0.6744) + 1.0016
11027806,417660696,3.854191406348305e-07,f(t) = 0.0000 * sin(2π * 2.8232 * t + -0.2590) + 0.2112 + 0.0000 * sin(2π * 3.6886 * t + 0.4054) + 0.0632 + 0.0000 * sin(2π * 4.5119 * t + 0.7697) + 0.0570 + 0.0000 * sin(2π * 5.3166 * t + -3.3327) + 0.5248 + 0.0000 * sin(2π * 7.7889 * t + -3.0244) + 0.1439
11769929,27396935,0.000374686,f(t) = 0.0030 * sin(2π * 10.1167 * t + 0.9473) + 0.5458 + 0.0003 * sin(2π * 10.4673 * t + -1.9410) + 0.0579 + 0.0004 * sin(2π * 13.5992 * t + 2.8051) + 0.0797 + 0.0003 * sin(2π * 15.2481 * t + -0.7452) + 0.0595 + 0.0009 * sin(2π * 16.2166 * t + -1.3774) + 0.1709 + 0.0005 * sin(2π * 17.8437 * t + 2.9079) + 0.0867
12216817,27639466,0.000240888,f(t) = 0.0045 * sin(2π * 3.6175 * t + -2.4268) + 0.2151 + 0.0028 * sin(2π * 5.6983 * t + 2.8200) + 0.1358 + 0.0018 * sin(2π * 6.6288 * t + 1.6763) + 0.0863 + 0.0117 * sin(2π * 8.1201 * t + -0.1370) + 0.5633
1849235,120761974,0.000505195,f(t) = 0.0032 * sin(2π * 6.2639 * t + -0.8843) + 0.7432 + 0.0011 * sin(2π * 6.6556 * t + 0.5457) + 0.2576
3424493,120426180,8.38353404529866e-06,f(t) = 0.0076 * sin(2π * 2.7094 * t + -0.9709) + 1.0003
3648131,137483924,3.986775750935869e-06,f(t) = 0.0003 * sin(2π * 15.4127 * t + -0.2140) + 0.8266 + 0.0001 * sin(2π * 20.2335 * t + 4.6074) + 0.1734
3965879,378012175,1.587535976637762e-05,f(t) = 0.0107 * sin(2π * 6.5374 * t + -1.4500) + 1.0001
4072890,184014237,1.8461488781629558e-07,f(t) = 0.0001 * sin(2π * 6.6980 * t + 3.4168) + 1.0000
8264404,185058038,1.374041512593399e-05,f(t) = 0.0008 * sin(2π * 1.3403 * t + -0.2845) + 0.0809 + 0.0007 * sin(2π * 1.8688 * t + -3.5778) + 0.0701 + 0.0009 * sin(2π * 3.1751 * t + 3.7780) + 0.0933 + 0.0005 * sin(2π * 7.9461 * t + 3.5952) + 0.0509 + 0.0046 * sin(2π * 9.3963 * t + -4.1382) + 0.4570 + 0.0018 * sin(2π * 10.7417 * t + -1.9126) + 0.1759 + 0.0007 * sin(2π * 12.6049 * t + -5.9204) + 0.0715
8330102,185058529,1.7163865697114557e-05,f(t) = 0.0003 * sin(2π * 15.9598 * t + -0.6755) + 0.0859 + 0.0020 * sin(2π * 17.3285 * t + -1.3861) + 0.6075 + 0.0005 * sin(2π * 19.0369 * t + -0.0928) + 0.1461 + 0.0003 * sin(2π * 21.1882 * t + 0.2458) + 0.0778 + 0.0003 * sin(2π * 22.9326 * t + -0.4419) + 0.0828
8453431,268305223,1.0292787160940168e-05,f(t) = 0.0001 * sin(2π * 13.8676 * t + -1.5735) + 0.6106 + 0.0001 * sin(2π * 22.1506 * t + -3.1406) + 0.3894
8493159,159579441,0.000275386,f(t) = 0.0001 * sin(2π * 5.5837 * t + 1.4221) + 0.1060 + 0.0006 * sin(2π * 7.3146 * t + 3.3227) + 0.4999 + 0.0002 * sin(2π * 8.2215 * t + 0.9958) + 0.1738 + 0.0001 * sin(2π * 11.6008 * t + -2.2537) + 0.0675 + 0.0002 * sin(2π * 13.3317 * t + -1.1843) + 0.0609 + 0.0001 * sin(2π * 14.8561 * t + -1.6541) + 0.0928
8585472,269038198,6.921414063530273e-06,f(t) = 0.0000 * sin(2π * 2.6585 * t + -1.9311) + 0.0724 + 0.0000 * sin(2π * 7.2740 * t + -2.9454) + 0.0832 + 0.0000 * sin(2π * 10.0341 * t + 3.7754) + 0.1608 + 0.0001 * sin(2π * 12.5283 * t + -1.9395) + 0.6835
8845312,239288923,3.877857392343062e-05,f(t) = 0.0000 * sin(2π * 1.3599 * t + 1.5191) + 0.1086 + 0.0000 * sin(2π * 5.3782 * t + -2.3694) + 0.0519 + 0.0002 * sin(2π * 6.2431 * t + 0.8506) + 0.5045 + 0.0000 * sin(2π * 6.5935 * t + -0.5811) + 0.0948 + 0.0001 * sin(2π * 7.6034 * t + 0.5154) + 0.2398
9050337,239235401,1.278727798320224e-06,f(t) = 0.0001 * sin(2π * 17.5553 * t + 1.4371) + 0.9086 + 0.0000 * sin(2π * 23.4075 * t + -0.2968) + 0.0914
4544967,120691259,1.0622016895593846e-06,f(t) = 0.0028 * sin(2π * 16.1337 * t + 1.5379) + 0.7745 + 0.0008 * sin(2π * 20.8939 * t + -1.0681) + 0.2257
4569150,138424189,1.5658818124683432e-05,f(t) = 0.0003 * sin(2π * 9.7047 * t + 1.0273) + 0.3114 + 0.0003 * sin(2π * 10.8798 * t + -0.6887) + 0.3080 + 0.0000 * sin(2π * 11.3323 * t + 2.8194) + 0.0314 + 0.0001 * sin(2π * 12.1572 * t + 0.4931) + 0.0702 + 0.0003 * sin(2π * 13.5999 * t + -2.4034) + 0.2791
4577647,184165058,0.000119646,f(t) = 0.0009 * sin(2π * 7.3569 * t + -6.2832) + 0.3301 + 0.0004 * sin(2π * 7.6647 * t + 0.5268) + 0.1340 + 0.0015 * sin(2π * 9.2307 * t + 0.8241) + 0.5367
4940217,184296301,5.847455076524357e-05,f(t) = 0.0021 * sin(2π * 5.2816 * t + 2.7837) + 0.9996
