KIC,MSE
6231538,2.7281997348940877e-05
6606229,1.6054900944801757e-05
6963490,0.000430602
7300184,0.000451314
7900367,7.642231463172946e-06
7915515,9.722062779574337e-07
9851822,9.144940836427965e-06
10350769,2.0485713673638656e-06
10355055,1.5604714161203191e-06
10415087,0.000788751
11027806,3.854191406348305e-07
11769929,0.000374686
12216817,0.000240888
1849235,0.000505195
3424493,8.38353404529866e-06
3648131,3.986775750935869e-06
3965879,1.587535976637762e-05
4072890,1.8461488781629555e-07
8264404,1.374041512593399e-05
8330102,1.7163865697114557e-05
8453431,1.0292787160940167e-05
8493159,0.000275386
8585472,6.921414063530273e-06
8845312,3.877857392343062e-05
9050337,1.278727798320224e-06
4544967,1.0622016895593846e-06
4569150,1.5658818124683432e-05
4577647,0.000119646
4940217,5.847455076524357e-05
5108514,2.7747060777765386e-05
5358323,7.794392528478945e-07
5900260,1.8381268243517577e-06
9051991,5.140571801742971e-05
9306095,0.001187857
9368220,5.086116859453627e-05
9368524,0.000135972
9649801,4.628201421956988e-06
9775887,0.000327358
9532219,3.709470270413626e-05
9594189,7.69300924381438e-05
9897710,1.4724557974477313e-05
9717148,5.4932922509705e-05
2581626,4.395606488288964e-05
2972514,0.000544861
3119295,0.000208743
3953144,1.1350824914227163e-05
4036687,0.000427527
4066203,1.3091828308026427e-05
4243668,7.03208278303732e-06
4374279,9.07575133581655e-05
4466691,0.00015982
4547067,6.27900918494547e-06
4651526,0.000175293
4995588,1.5318303333456129e-06
5027750,5.1816864998279935e-06
5284701,9.214891437350259e-07
5286485,7.479217476934215e-07
5353653,1.2406073682306084e-05
5357882,6.685618587634009e-05
5534340,8.43890009732684e-05
5707205,2.907947332606431e-06
5788165,1.0320408755486022e-06
6304420,5.768083107198354e-07
6442207,0.000299542
6444630,0.000122764
6778487,0.000103317
6836820,0.000216734
6955650,2.8852004454817548e-05
7048016,3.484686045291798e-06
7124161,3.181638114761886e-05
7347529,0.000100984
7521682,0.00018954
7601767,0.000123156
7617649,0.000338815
7668283,4.513708069117361e-06
7750215,3.420743165344581e-06
7905603,6.038138192663844e-05
7937097,0.001994831
7948091,8.62809142263776e-05
7984934,1.5998805376310345e-05
8052082,9.504994810619171e-07
8087649,5.1037399657257646e-05
8090059,1.144967890284222e-06
8144212,4.7552471233068e-07
8150307,6.71139342330844e-07
8245366,0.000600348
8248967,0.000387803
8249829,6.564481883509203e-07
8315263,1.3027699237736735e-05
8393922,1.4469908460983375e-06
8516900,4.588566367476509e-06
8648251,1.1089279362181254e-06
8649814,7.82286109737286e-06
8960514,3.0192772280321695e-06
8963394,0.000327704
9075949,0.00120295
9077483,0.000177477
9137819,0.000521446
9202969,2.8535037115325618e-05
9214444,9.006160651262344e-07
9364179,8.444653793661976e-06
9594857,0.000282083
9614153,1.0215392455335514e-06
9700322,0.000731331
9706609,5.553339912153716e-07
9724292,3.0251483039051102e-06
9942562,1.5218687494263407e-07
10451090,1.6405357038011054e-06
11143576,9.043526919289913e-06
11704101,0.004040853
11852985,5.697039697276582e-06
