,KIC,Right Ascension,Declination,Magnitude in Kepler Band,RMSE,Average Epsilon,Epsilon/period_pulse,1 Half,2 Half,Epsilon_%,R2_FFT,Composite Function
1,6231538,298.64798,41.51173,13.737,0.667530815,-0.003212209,-0.047292389,-0.003020713,-0.003403425,11.914806543401687,0.999972695,f(t) = 1.000000 + 0.000800 * sin(2?? * 12.273100 * t + -0.878100) + 0.000100 * sin(2?? * 14.722700 * t + 0.333700)
2,6606229,291.85559,42.00861,11.136,0.568933249,0.004226971,0.033009262,-0.000443674,0.008890817,221.00942122434236,0.999983951,f(t) = 1.000000 + 0.002100 * sin(2?? * 6.407900 * t + 1.655900) + 0.001300 * sin(2?? * 7.809200 * t + 0.456200) + 0.000700 * sin(2?? * 4.820700 * t + -1.190085) + 0.000300 * sin(2?? * 3.523400 * t + 0.750900) + 0.000300 * sin(2?? * 4.182000 * t + -2.490685) + 0.000300 * sin(2?? * 6.882100 * t + -0.542300)
3,6963490,295.8869,42.454819,14.702,0.559006483,0.039283211,0.44690937826259997,0.030234417,0.048332005,46.06952248957475,0.999568876,f(t) = 1.001200 + 0.006700 * sin(2?? * 7.140900 * t + -3.008000) + 0.002600 * sin(2?? * 7.570800 * t + -2.034400) + 0.001800 * sin(2?? * 11.376600 * t + 0.188600) + 0.000800 * sin(2?? * 6.710400 * t + -2.178600)
4,7300184,296.78571,42.80331,15.43,0.622831781,-0.002677741,-0.055599275,-2.60E-05,-0.005325619,198.0563697805048,0.999549742,f(t) = 1.001100 + 0.002400 * sin(2?? * 11.657400 * t + 2.443000) + 0.000400 * sin(2?? * 20.763500 * t + 2.785400)
5,7900367,294.93735,43.695919,11.282,0.597099203,-0.000650506,-0.008618814,-0.000602417,-0.000698525,14.775283723027725,0.999992339,f(t) = 1.000000 + 0.001300 * sin(2?? * 13.249400 * t + 2.775285) + 0.000300 * sin(2?? * 7.788900 * t + -2.824600)
6,7915515,298.96823,43.679829,12.82,0.602890917,-0.000370602,-0.004520566,-0.000937041,0.000195013,305.12440071783635,0.999999022,f(t) = 1.000000 + 0.000100 * sin(2?? * 12.197900 * t + 2.737800)
7,9851822,299.00192,46.636791,13.902,0.705668587,-0.000485192,-0.007108694,-0.000501427,-0.000468993,6.684458528918761,0.99999085,f(t) = 1.000000 + 0.000500 * sin(2?? * 14.651300 * t + 1.812300)
8,10350769,295.97668,47.410461,13.008,0.583878707,0.006854355,0.021466468989000002,-0.031388874,0.045009058,1121.834000756154,0.999997935,f(t) = 0.999900 + 0.000500 * sin(2?? * 3.131800 * t + 2.295400) + 0.000100 * sin(2?? * 1.009300 * t + 1.581300) + 0.000100 * sin(2?? * 1.566200 * t + -2.671000)
9,10355055,297.31918,47.407581,9.383,0.303482609,-0.016129591,-0.356210727,-0.015368047,-0.016889393,9.432527974,0.999998328,f(t) = 1.000000 + 0.003000 * sin(2?? * 22.084300 * t + -0.198100) + 0.000700 * sin(2?? * 18.681700 * t + -1.206200) + 0.000300 * sin(2?? * 19.576000 * t + -1.692800)
10,10415087,295.79916,47.587009,12.139,0.621244338,-0.001378866,-0.009972373,0.019478041,-0.022187715,3075.3332244173725,0.999211816,f(t) = 1.001600 + 0.009800 * sin(2?? * 7.232300 * t + -0.674400)
11,11027806,290.94797,48.52446,11.557,0.633320591,0.000927723,-1,-1.16E-05,0.00186564,202.49425762413858,0.999999608,f(t) = 1.000100
12,11769929,295.19943,49.980381,12.381,0.619628921,0.0065473,0.11682805700999999,0.017977814,-0.004866574,348.47031198927766,0.999625814,f(t) = 1.000500 + 0.003000 * sin(2?? * 10.116700 * t + 0.947300) + 0.000900 * sin(2?? * 16.216600 * t + -1.377400) + 0.000500 * sin(2?? * 17.843700 * t + 2.907900) + 0.000400 * sin(2?? * 13.599200 * t + 2.805100) + 0.000300 * sin(2?? * 10.467300 * t + -1.941000) + 0.000300 * sin(2?? * 15.248100 * t + -0.745200)
13,12216817,295.79639,50.895988,10.662,0.518421054,-0.032293661,-0.262227757,-0.040242065,-0.024356826,49.18114972427553,0.999757561,f(t) = 1.000500 + 0.011700 * sin(2?? * 8.120100 * t + -0.137000) + 0.004500 * sin(2?? * 3.617500 * t + -2.426800) + 0.002800 * sin(2?? * 5.698300 * t + 2.820000) + 0.001800 * sin(2?? * 6.628800 * t + 1.676300)
14,1849235,286.14963,37.39505,11.646,0.594862522,0.015579702,0.10369226463119999,0.011947157774595906,0.019206958590478822,46.60572446228328,0.999495691,f(t) = 1.000800 + 0.003200 * sin(2?? * 6.263900 * t + -0.884300) + 0.001100 * sin(2?? * 6.655600 * t + 0.545700)
15,3424493,285.1564,38.505619,9.553,0.297868632,-0.008171281,-0.022139269,-0.007109397,-0.009231621,25.97419736707532,0.999990984,f(t) = 1.000300 + 0.007600 * sin(2?? * 2.709400 * t + -0.970900)
16,3648131,292.09274,38.73053,13.476,0.658856887,0.003015233,0.061008717,0.007241102,-0.001210637,280.3013979143294,0.99999601,f(t) = 1.000000 + 0.000300 * sin(2?? * 15.412700 * t + -0.214000) + 0.000100 * sin(2?? * 20.233500 * t + -1.675785)
17,3965879,294.4754,39.00388,13.335,0.320628621,8.061771478915512e-05,0.00052703,-0.000223383,0.000383895,756.6772272955374,0.999982815,f(t) = 1.000100 + 0.010700 * sin(2?? * 6.537400 * t + -1.450000)
18,4072890,295.45047,39.110661,14.269,0.615391855,-0.030505209,-0.20432389,-0.035233165,-0.025789043,30.953067889523055,0.999999815,f(t) = 1.000000 + 0.000100 * sin(2?? * 6.698000 * t + -2.866385)
19,8264404,300.94638,44.157139,12.193,0.447616056,0.005154127,0.064967255,0.004315137,0.005993118,32.55605663226774,0.999985867,f(t) = 0.999600 + 0.004600 * sin(2?? * 9.396300 * t + 2.144985) + 0.001800 * sin(2?? * 10.741700 * t + -1.912600) + 0.000900 * sin(2?? * 3.175100 * t + -2.505185) + 0.000800 * sin(2?? * 1.340300 * t + -0.284500) + 0.000700 * sin(2?? * 12.604900 * t + 0.362785) + 0.000700 * sin(2?? * 1.868800 * t + 2.705385) + 0.000500 * sin(2?? * 7.946100 * t + -2.687985)
20,8330102,300.89816,44.289471,13.479,0.595887535,-0.002890806,-0.066293698,-0.004917402,-0.00086716,140.03626038556538,0.999982828,f(t) = 1.000100 + 0.002000 * sin(2?? * 17.328500 * t + -1.386100) + 0.000500 * sin(2?? * 19.036900 * t + -0.092800) + 0.000300 * sin(2?? * 21.188200 * t + 0.245800) + 0.000300 * sin(2?? * 15.959800 * t + -0.675500) + 0.000300 * sin(2?? * 22.932600 * t + -0.441900)
21,8453431,298.85471,44.452911,12.534,0.593181526,-0.000693192,-0.015354619,-0.000511896,-0.000874224,52.27940968957954,0.999989708,f(t) = 1.000000 + 0.000100 * sin(2?? * 13.867600 * t + -1.573500) + 0.000100 * sin(2?? * 22.150600 * t + -3.140600)
22,8493159,291.02487,44.546383,12.002,0.56569277,-0.004198826,-0.062378179,0.002799045,-0.011186511,333.48702944354545,0.999725151,f(t) = 1.000900 + 0.000600 * sin(2?? * 7.314600 * t + -2.960485) + 0.000200 * sin(2?? * 8.221500 * t + 0.995800) + 0.000200 * sin(2?? * 13.331700 * t + -1.184300) + 0.000100 * sin(2?? * 5.583700 * t + 1.422100) + 0.000100 * sin(2?? * 11.600800 * t + -2.253700) + 0.000100 * sin(2?? * 14.856100 * t + -1.654100)
23,8585472,299.66873,44.61068,13.249,0.637876087,0.003088559,0.038694394,0.001934817,0.00424062,74.67658279131008,0.999993067,f(t) = 0.999900 + 0.000100 * sin(2?? * 12.528300 * t + -1.939500)
24,8845312,300.23813,45.093578,11.501,0.693539008,0.000503707,0.003829886,-0.002476687,0.003479763,1187.6367765270948,0.999961187,f(t) = 0.999600 + 0.000200 * sin(2?? * 6.243100 * t + 0.850600) + 0.000100 * sin(2?? * 7.603400 * t + 0.515400)
25,9050337,299.98993,45.31699,12.598,0.646273738,0.001674331,0.029393383,0.005690394,-0.002335886,478.5368807476309,0.999998721,f(t) = 1.000000 + 0.000100 * sin(2?? * 17.555300 * t + 1.437100)
