KIC,Right Ascension,Declination,Magnitude in Kepler Band,RMSE,Average Epsilon,Epsilon/period_pulse,1 Half,2 Half,Epsilon_%,R2_FFT,Composite Function
5357882,290.35376,40.550961,14.694,0.211091634,0.002891718,0.014929072518600001,0.001971902,0.00380963,63.57233562129626,0.999928198,f(t) = 1.000200 + 0.033500 * sin(2?? * 5.162700 * t + 0.000015) + 0.004900 * sin(2?? * 2.531800 * t + -0.000015)
7948091,287.0054,43.754539,14.842,0.212486231,-0.001255472,-0.016863625,0.001280206,-0.003780967,404.7706805010516,0.999908988,f(t) = 0.993600 + 0.050600 * sin(2?? * 6.715000 * t + -0.000015) + 0.008900 * sin(2?? * 3.357800 * t + -0.000015) + 0.006600 * sin(2?? * 13.432100 * t + -0.000015)
6444630,292.41455,41.81065,14.561,0.213062368,-0.006713544,-0.040485356,-0.006521956,-0.006904735,5.701765555956241,0.99981496,f(t) = 1.000400 + 0.042600 * sin(2?? * 6.030400 * t + -1.565500) + 0.008200 * sin(2?? * 3.017800 * t + -0.000015)
5353653,289.06549,40.548512,15.131,0.226008362,0.008815784,0.047839733,0.008509104,0.00912183,6.950581842701959,0.99997899,f(t) = 1.000000 + 0.013100 * sin(2?? * 5.426600 * t + 1.233100) + 0.003000 * sin(2?? * 2.713600 * t + 0.000015)
9532219,294.21674,46.180222,16.118,0.230848236,0.000195147,0.003939276,0.000300658,8.978919380612236e-05,108.01388587501204,0.999961223,f(t) = 0.992500 + 0.037300 * sin(2?? * 10.093100 * t + -2.814600) + 0.008000 * sin(2?? * 20.186200 * t + 2.205385)
8649814,299.52292,44.73344,14.43,0.234140648,0.002318364,0.036164392,0.000862672,0.003774056,125.57921454846701,0.999987319,f(t) = 1.000200 + 0.007000 * sin(2?? * 7.598400 * t + 2.453885) + 0.005000 * sin(2?? * 9.551200 * t + -0.000015) + 0.004500 * sin(2?? * 15.599100 * t + -0.000015) + 0.002000 * sin(2?? * 11.295900 * t + -0.000015) + 0.001800 * sin(2?? * 9.022200 * t + -0.000015) + 0.001000 * sin(2?? * 1.617500 * t + -0.000015) + 0.000700 * sin(2?? * 9.928100 * t + -0.000015)
6304420,297.05414,41.602089,14.392,0.237775159,0.009852395,0.182607245,0.010526909619334389,0.009179277,13.677249145963652,0.999999373,f(t) = 1.000000 + 0.002100 * sin(2?? * 18.534300 * t + -2.146100) + 0.001500 * sin(2?? * 16.961700 * t + 2.641700)
8249829,297.15857,44.166672,14.288,0.238241008,-0.021970414,-0.518655563,-0.02068885,-0.023246831,11.644206599357044,0.999999273,f(t) = 1.000100 + 0.003000 * sin(2?? * 16.801200 * t + -0.000015) + 0.000400 * sin(2?? * 1.893900 * t + 2.295800) + 0.000400 * sin(2?? * 17.444500 * t + 0.803585) + 0.000300 * sin(2?? * 23.607000 * t + -0.000015)
9724292,297.10431,46.445251,14.397,0.239400556,-0.00896784,-0.143797521,-0.00502438,-0.0129113,87.94671481376243,0.999995137,f(t) = 1.000100 + 0.003500 * sin(2?? * 13.812200 * t + -0.000015) + 0.002600 * sin(2?? * 11.174600 * t + -0.000015) + 0.001600 * sin(2?? * 13.166500 * t + 2.768685) + 0.001500 * sin(2?? * 12.085500 * t + -0.000015) + 0.001100 * sin(2?? * 11.571100 * t + -0.000015) + 0.001100 * sin(2?? * 13.483200 * t + -1.072200) + 0.000800 * sin(2?? * 12.486800 * t + -0.000015) + 0.000500 * sin(2?? * 14.469000 * t + -0.000015) + 0.000400 * sin(2?? * 15.547700 * t + -0.000015) + 0.000400 * sin(2?? * 16.034800 * t + -0.000015)
4466691,292.27933,39.505081,14.348,0.243597205,-0.002365142,-0.019602297,-0.008306452,0.003563866,500.58424177946205,0.999828005,f(t) = 0.992400 + 0.058100 * sin(2?? * 4.144300 * t + 0.000015) + 0.022700 * sin(2?? * 2.072000 * t + -2.361285) + 0.006200 * sin(2?? * 8.288000 * t + 0.165685)
9075949,285.70135,45.425152,14.586,0.244441321,0.007303987,0.041552382,0.004592736,0.010004305,74.14609966390017,0.998091265,f(t) = 0.989100 + 0.140300 * sin(2?? * 5.689000 * t + 0.000015)
4544967,286.05136,39.6105,12.975,0.245193314,-0.021807768,-0.455649324,-0.022540847,-0.021075755,6.718047066036241,0.999998599,f(t) = 1.000200 + 0.002800 * sin(2?? * 16.133700 * t + 1.537900) + 0.000800 * sin(2?? * 20.893900 * t + -1.068100)
9614153,300.4726,46.210602,14.18,0.254279561,0.017700770480945583,0.26348304891706614,0.015374493554382132,0.020027047407509036,26.28447082648327,0.999998635,f(t) = 1.000000 + 0.002700 * sin(2?? * 13.224800 * t + -0.000015) + 0.001600 * sin(2?? * 14.885400 * t + 1.201000)
4651526,290.7388,39.770802,14.754,0.262661476,-0.007509037,-0.050375126,-0.010820759,-0.004204171,88.07479673482436,0.999721228,f(t) = 0.999300 + 0.045600 * sin(2?? * 6.708600 * t + 0.000015) + 0.007000 * sin(2?? * 3.340600 * t + 0.422285)
8315263,296.99152,44.26968,14.323,0.276890941,-0.011610639,-0.210711038,-0.005384849,-0.017811425,107.14286003067082,0.999986192,f(t) = 1.000300 + 0.007900 * sin(2?? * 13.233800 * t + -2.323000) + 0.003600 * sin(2?? * 13.874900 * t + -0.000015) + 0.002000 * sin(2?? * 15.776600 * t + -0.000015) + 0.001700 * sin(2?? * 17.712200 * t + -0.000015) + 0.001600 * sin(2?? * 18.148100 * t + -0.000015)
3953144,291.1925,39.049492,14.673,0.280977593,-0.006406772,-0.117481619,-0.00731609,-0.005499337,28.352588057715238,0.999985121,f(t) = 1.000100 + 0.007600 * sin(2?? * 9.847200 * t + -1.648985) + 0.003300 * sin(2?? * 15.111300 * t + -3.094485) + 0.001700 * sin(2?? * 18.337100 * t + -0.000015) + 0.001400 * sin(2?? * 9.057900 * t + -0.000015) + 0.001400 * sin(2?? * 15.511700 * t + -0.000015)
8516900,298.64468,44.532631,14.177,0.28804574,0.02007389,0.398067246,0.018719574,0.021428205183183995,13.493303394228287,0.999993922,f(t) = 1.000100 + 0.004000 * sin(2?? * 12.889400 * t + -0.000015) + 0.003200 * sin(2?? * 16.354100 * t + -0.000015) + 0.001700 * sin(2?? * 12.302500 * t + -0.000015) + 0.001700 * sin(2?? * 19.830100 * t + -0.000015) + 0.001600 * sin(2?? * 11.549700 * t + -0.000015) + 0.001600 * sin(2?? * 10.869600 * t + 0.769685)
3424493,285.1564,38.505619,9.553,0.297868632,-0.008171281,-0.022139269,-0.007109397,-0.009231621,25.97419736707532,0.999990984,f(t) = 1.000300 + 0.007600 * sin(2?? * 2.709400 * t + -0.970900)
8393922,300.26193,44.352291,14.032,0.302492754,-0.004369123,-0.093806382,0.001127464,-0.009865711,251.61055146118647,0.99999836,f(t) = 1.000100 + 0.002100 * sin(2?? * 13.080400 * t + -0.000015) + 0.001200 * sin(2?? * 21.470300 * t + -0.000015) + 0.001000 * sin(2?? * 18.275700 * t + -0.044600) + 0.000800 * sin(2?? * 14.835100 * t + -0.000015)
10355055,297.31918,47.407581,9.383,0.303482609,-0.016129591,-0.356210727,-0.015368047,-0.016889393,9.432527974,0.999998328,f(t) = 1.000000 + 0.003000 * sin(2?? * 22.084300 * t + -0.198100) + 0.000700 * sin(2?? * 18.681700 * t + -1.206200) + 0.000300 * sin(2?? * 19.576000 * t + -1.692800)
4243668,285.52716,39.34726,14.656,0.30498448,0.000111265,0.00058097,0.001169143,-0.000944423,1881.061014494221,0.99999253,f(t) = 0.999800 + 0.007300 * sin(2?? * 5.221500 * t + 2.492985) + 0.003000 * sin(2?? * 2.608200 * t + -0.000015)
8960514,294.4621,45.259651,14.399,0.306568416,-0.000979739,-0.006560038,-0.00305301,0.001085205,420.59188856467193,0.999996965,f(t) = 1.000200 + 0.003800 * sin(2?? * 6.695700 * t + 0.000015) + 0.000400 * sin(2?? * 2.124400 * t + 0.000015)
7905603,296.4838,43.670799,14.35,0.31222847,0.023615774601921657,0.4300338091911515,0.026280786,0.020950763320719996,22.569755395487253,0.999932464,f(t) = 1.000300 + 0.014100 * sin(2?? * 18.209600 * t + -0.000015) + 0.008500 * sin(2?? * 13.483000 * t + -0.000015) + 0.004400 * sin(2?? * 7.981900 * t + -0.000015) + 0.002900 * sin(2?? * 16.233500 * t + -0.000015) + 0.002700 * sin(2?? * 8.460100 * t + -0.000015)
3965879,294.4754,39.00388,13.335,0.320628621,8.061771478915512e-05,0.00052703,-0.000223383,0.000383895,756.6772272955374,0.999982815,f(t) = 1.000100 + 0.010700 * sin(2?? * 6.537400 * t + -1.450000)
10451090,282.48297,47.637321,9.21,0.322674462,-0.00028478,-0.010928888,0.004294507,-0.004850439,3289.9510568498094,0.999998317,f(t) = 1.000000 + 0.002100 * sin(2?? * 38.376600 * t + -1.957785) + 0.001400 * sin(2?? * 32.845700 * t + 2.991700) + 0.001000 * sin(2?? * 29.161500 * t + 2.465100) + 0.000900 * sin(2?? * 36.927600 * t + -2.992485) + 0.000800 * sin(2?? * 34.239600 * t + -1.513000) + 0.000500 * sin(2?? * 30.877600 * t + -3.015385) + 0.000500 * sin(2?? * 33.231200 * t + -2.089200) + 0.000200 * sin(2?? * 35.940700 * t + 2.092200)
7937097,280.96948,43.743561,14.326,0.32955722,-0.007225605,-0.033871469,-0.007253443,-0.007197879,0.7689900066518304,0.997730248,f(t) = 0.996000 + 0.110800 * sin(2?? * 4.687700 * t + 2.028000) + 0.013200 * sin(2?? * 2.346700 * t + 0.409085)
9942562,287.51093,46.88287,14.597,0.366152872,0.003929596,0.026791199608799998,0.003684213,0.004174979,12.488970220848323,0.999999835,f(t) = 0.999900 + 0.000900 * sin(2?? * 6.817800 * t + -0.740985)
8052082,298.6944,43.877708,14.585,0.378527556,0.011429736,0.235993188,0.016858458,0.006022558,94.71520265063454,0.999998885,f(t) = 1.000000 + 0.001400 * sin(2?? * 18.362600 * t + -0.000015) + 0.001200 * sin(2?? * 20.647300 * t + -3.096785)
7750215,290.81134,43.468979,14.323,0.38569196,-0.004294457,-0.069908607,-0.003710741,-0.004878172,27.18459155950928,0.99999655,f(t) = 1.000000 + 0.003200 * sin(2?? * 16.278800 * t + 0.000015)
5534340,292.07117,40.715,14.645,0.406999514,-0.002058144,-0.022271999,-0.003115924,-0.001002554,102.62870870981908,0.999914235,f(t) = 1.000300 + 0.012700 * sin(2?? * 6.019900 * t + 2.863985) + 0.003100 * sin(2?? * 10.821400 * t + -3.016100) + 0.002100 * sin(2?? * 9.827500 * t + 2.222185) + 0.001800 * sin(2?? * 5.460800 * t + -0.000015) + 0.001500 * sin(2?? * 7.697100 * t + 0.441100)
5284701,294.53641,40.446362,14.447,0.409175779,-0.002809318,-0.068688106,-0.003338442,-0.002281445,37.61631212,0.999999026,f(t) = 1.000000 + 0.000900 * sin(2?? * 19.332500 * t + 0.540700) + 0.000900 * sin(2?? * 24.450100 * t + 0.000015) + 0.000500 * sin(2?? * 23.279200 * t + -1.059585)
7048016,295.77335,42.593712,14.024,0.426884547,-0.001287869,-0.026685418,0.00069412,-0.003267075,307.9102483477852,0.999996328,f(t) = 1.000000 + 0.002000 * sin(2?? * 15.920700 * t + 0.000015) + 0.001000 * sin(2?? * 19.902900 * t + 1.835200) + 0.000900 * sin(2?? * 18.116900 * t + -2.953585) + 0.000500 * sin(2?? * 20.352600 * t + -3.069585) + 0.000500 * sin(2?? * 20.720600 * t + 0.018900) + 0.000300 * sin(2?? * 17.604400 * t + -0.000015) + 0.000300 * sin(2?? * 10.319100 * t + 0.728985) + 0.000300 * sin(2?? * 10.749500 * t + -2.495800)
9364179,299.10205,45.80669,14.142,0.427009481,0.000831942,0.025573231526400002,-0.000572672,0.002236556,337.6711855026517,0.999990776,f(t) = 1.000000 + 0.003500 * sin(2?? * 30.739200 * t + 0.000015) + 0.001300 * sin(2?? * 29.234700 * t + -2.464485) + 0.001200 * sin(2?? * 30.027300 * t + -0.000015)
5027750,295.99509,40.112518,14.775,0.446827328,-0.005478289,-0.064150216,-0.006291099,-0.0046674,29.633615546227333,0.999994381,f(t) = 1.000000 + 0.002900 * sin(2?? * 11.709900 * t + -0.000015)
8264404,300.94638,44.157139,12.193,0.447616056,0.005154127,0.064967255,0.004315137,0.005993118,32.55605663226774,0.999985867,f(t) = 0.999600 + 0.004600 * sin(2?? * 9.396300 * t + 2.144985) + 0.001800 * sin(2?? * 10.741700 * t + -1.912600) + 0.000900 * sin(2?? * 3.175100 * t + -2.505185) + 0.000800 * sin(2?? * 1.340300 * t + -0.284500) + 0.000700 * sin(2?? * 12.604900 * t + 0.362785) + 0.000700 * sin(2?? * 1.868800 * t + 2.705385) + 0.000500 * sin(2?? * 7.946100 * t + -2.687985)
