KIC,Right Ascension,Declination,Magnitude in Kepler Band,RMSE,Average Epsilon,Epsilon/period_pulse,1 Half,2 Half,Epsilon_%,R2_FFT,Composite Function,Composite Function
2581626,292.70682,37.806011,14.998,0.073070843,-0.005548938,-0.13039172,-0.005846461,-0.00525203,10.71192471,0.999563822,f(t) = 1.004100 + 0.071900 * sin(2?? * 18.139700 * t + -2.440400) + 0.015700 * sin(2?? * 23.498500 * t + -0.000015) + 0.007800 * sin(2?? * 5.358700 * t + -1.669385),f(t) = 1.004100 + 0.071900 * sin(2π * 18.139700 * t + -2.440400) + 0.015700 * sin(2π * 23.498500 * t + -0.000015) + 0.007800 * sin(2π * 5.358700 * t + -1.669385)
5286485,295.00616,40.404041,14.824,0.096256705,0.018167039,0.183319961,0.018215645,0.018118549,0.534458519,0.999998964,f(t) = 1.000100 + 0.005700 * sin(2?? * 10.090800 * t + 0.000015) + 0.004900 * sin(2?? * 7.679000 * t + -0.000015),f(t) = 1.000100 + 0.005700 * sin(2π * 10.090800 * t + 0.000015) + 0.004900 * sin(2π * 7.679000 * t + -0.000015)
8648251,299.10468,44.773991,14.604,0.099382554,0.009634247,0.187964159,0.008380622,0.010887872,26.0243482,0.999993113,f(t) = 1.000000 + 0.006300 * sin(2?? * 15.118300 * t + 2.198200) + 0.006200 * sin(2?? * 19.510000 * t + 0.000015),f(t) = 1.000000 + 0.006300 * sin(2π * 15.118300 * t + 2.198200) + 0.006200 * sin(2π * 19.510000 * t + 0.000015)
6955650,293.93597,42.488461,14.24,0.099719248,0.068615063,0.260236349,0.068213939,0.069015357,1.167998413,0.999858027,f(t) = 0.997100 + 0.060700 * sin(2?? * 3.792700 * t + 1.724500) + 0.007900 * sin(2?? * 1.896000 * t + 2.461785),f(t) = 0.997100 + 0.060700 * sin(2π * 3.792700 * t + 1.724500) + 0.007900 * sin(2π * 1.896000 * t + 2.461785)
7668283,286.07773,43.302872,14.565,0.100584521,0.109859253,0.613267308,0.10946492,0.110253586,0.717888251,0.999987499,f(t) = 1.001100 + 0.017600 * sin(2?? * 3.721100 * t + 1.440885) + 0.003600 * sin(2?? * 1.859900 * t + -0.000015) + 0.002000 * sin(2?? * 5.582300 * t + -0.524600),f(t) = 1.000000 + 0.004400 * sin(2π * 23.749200 * t + -0.333800) + 0.003200 * sin(2π * 23.154500 * t + -0.871300)
9137819,283.36523,45.533569,14.991,0.106140629,0.06843583,0.500382258,0.06854597,0.068326132,0.321231276,0.995886473,f(t) = 1.009900 + 0.197000 * sin(2?? * 3.655600 * t + 1.964400) + 0.036000 * sin(2?? * 7.311700 * t + -0.000015),f(t) = 0.999900 + 0.027200 * sin(2π * 4.686400 * t + 0.219185) + 0.007200 * sin(2π * 2.343700 * t + -1.514585)
9077483,286.55652,45.47319,15.362,0.109473034,0.077487187,0.831274793,0.077585092,0.077389282,0.252699843,0.999757105,f(t) = 0.983400 + 0.144100 * sin(2?? * 5.363900 * t + -1.698985) + 0.020700 * sin(2?? * 2.667800 * t + -1.307985) + 0.015500 * sin(2?? * 10.727900 * t + -2.059600),f(t) = 1.001100 + 0.017600 * sin(2π * 3.721100 * t + 1.440885) + 0.003600 * sin(2π * 1.859900 * t + -0.000015) + 0.002000 * sin(2π * 5.582300 * t + -0.524600)
9202969,284.02448,45.665798,14.515,0.112484607,-0.09080794,-0.451669613,-0.092023064,-0.089597697,2.670803697,0.999966605,f(t) = 0.999800 + 0.047200 * sin(2?? * 4.973900 * t + 0.000015),f(t) = 1.009900 + 0.197000 * sin(2π * 3.655600 * t + 1.964400) + 0.036000 * sin(2π * 7.311700 * t + -0.000015)
6778487,292.15759,42.291168,14.85,0.120020277,-0.04763571,-0.241679775,-0.048116675,-0.047155742,2.017232333,0.999707681,f(t) = 0.994100 + 0.092700 * sin(2?? * 5.073500 * t + 0.453085),f(t) = 0.983400 + 0.144100 * sin(2π * 5.363900 * t + -1.698985) + 0.020700 * sin(2π * 2.667800 * t + -1.307985) + 0.015500 * sin(2π * 10.727900 * t + -2.059600)
6836820,281.43738,42.32869,14.46,0.12123833,0.08178241,0.733056632,0.082003935,0.081561343,0.541180873,0.999700007,f(t) = 0.973400 + 0.160200 * sin(2?? * 4.481600 * t + -2.593385) + 0.022500 * sin(2?? * 8.963500 * t + 0.501785),f(t) = 0.999800 + 0.047200 * sin(2π * 4.973900 * t + 0.000015)
4547067,286.95959,39.64114,14.671,0.123537384,0.072228503,0.354432487,0.071969298,0.072487171,0.716995235,0.999982238,f(t) = 0.999900 + 0.020000 * sin(2?? * 4.907100 * t + -0.000015) + 0.004300 * sin(2?? * 2.453500 * t + -0.183100),f(t) = 0.994100 + 0.092700 * sin(2π * 5.073500 * t + 0.453085)
8090059,289.11871,43.99369,14.027,0.129852921,-0.018547735,-0.340543834,-0.015943684,-0.0211437,28.04196705,0.999998835,f(t) = 1.000000 + 0.007900 * sin(2?? * 18.360400 * t + 2.025085),f(t) = 0.973400 + 0.160200 * sin(2π * 4.481600 * t + -2.593385) + 0.022500 * sin(2π * 8.963500 * t + 0.501785)
7617649,294.77219,43.293789,14.634,0.132192022,-0.037950402,-0.41206926,-0.038161182,-0.037739623,1.110815623,0.999561607,f(t) = 0.970300 + 0.185300 * sin(2?? * 5.428800 * t + 1.784285) + 0.032700 * sin(2?? * 10.858100 * t + -0.000015),f(t) = 0.999900 + 0.020000 * sin(2π * 4.907100 * t + -0.000015) + 0.004300 * sin(2π * 2.453500 * t + -0.183100)
8963394,295.38419,45.280109,14.48,0.138227954,-0.088009927,-0.944513736,-0.0854226,-0.090586737,5.868026195,0.999397867,f(t) = 0.980400 + 0.163400 * sin(2?? * 5.365700 * t + -1.614300) + 0.017200 * sin(2?? * 10.731900 * t + -0.000015),f(t) = 1.000000 + 0.007900 * sin(2π * 18.360400 * t + 2.025085)
4066203,293.87561,39.113762,14.052,0.138724337,-0.044948782,-0.247959956,-0.045031181,-0.044866579,0.366198223,0.999986488,f(t) = 1.000100 + 0.025800 * sin(2?? * 5.516500 * t + 1.589785) + 0.003500 * sin(2?? * 2.758600 * t + -2.696485),f(t) = 0.970300 + 0.185300 * sin(2π * 5.428800 * t + 1.784285) + 0.032700 * sin(2π * 10.858100 * t + -0.000015)
3119295,292.05969,38.266869,14.268,0.140756382,0.047336055,0.43062556,0.047039662,0.047631834,1.251004253,0.999199942,f(t) = 0.969200 + 0.154500 * sin(2?? * 4.548600 * t + -0.679300) + 0.030100 * sin(2?? * 9.097200 * t + -0.000015) + 0.022600 * sin(2?? * 2.274400 * t + -1.700100),f(t) = 0.980400 + 0.163400 * sin(2π * 5.365700 * t + -1.614300) + 0.017200 * sin(2π * 10.731900 * t + -0.000015)
8150307,285.16141,44.017181,14.782,0.141793959,0.005128513,0.075459402,0.005683019,0.004576233,21.57634884,0.999999046,f(t) = 1.000000 + 0.005000 * sin(2?? * 14.713700 * t + -0.000015) + 0.001200 * sin(2?? * 13.714500 * t + -0.000015),f(t) = 1.000100 + 0.025800 * sin(2π * 5.516500 * t + 1.589785) + 0.003500 * sin(2π * 2.758600 * t + -2.696485)
7601767,289.92361,43.219158,14.486,0.143325838,0.032720921,0.268903801,0.030919205,0.034515402,10.99172802,0.999810675,f(t) = 0.984100 + 0.104000 * sin(2?? * 4.109300 * t + 0.000015) + 0.015200 * sin(2?? * 8.218100 * t + -0.000015),f(t) = 0.969200 + 0.154500 * sin(2π * 4.548600 * t + -0.679300) + 0.030100 * sin(2π * 9.097200 * t + -0.000015) + 0.022600 * sin(2π * 2.274400 * t + -1.700100)
8087649,287.9899,43.966339,14.448,0.144721736,0.061896659,0.257948137,0.061701403,0.062091131,0.629647019,0.999931045,f(t) = 0.992700 + 0.056600 * sin(2?? * 4.167400 * t + -0.746385) + 0.021000 * sin(2?? * 2.083300 * t + -0.000015),f(t) = 1.000000 + 0.005000 * sin(2π * 14.713700 * t + -0.000015) + 0.001200 * sin(2π * 13.714500 * t + -0.000015)
8248967,296.94406,44.166401,15.056,0.145197614,0.083342812,0.562764004,0.082937331,0.083746665,0.971099829,0.999537833,f(t) = 0.982300 + 0.164700 * sin(2?? * 3.375500 * t + -0.180085) + 0.020500 * sin(2?? * 6.752400 * t + -0.000015),f(t) = 0.984100 + 0.104000 * sin(2π * 4.109300 * t + 0.000015) + 0.015200 * sin(2π * 8.218100 * t + -0.000015)
7521682,289.93637,43.157269,14.781,0.146317939,-0.04275917,-0.479616782,-0.042410604,-0.043106654,1.627858555,0.999082762,f(t) = 0.986300 + 0.117000 * sin(2?? * 5.608300 * t + 2.326185) + 0.014500 * sin(2?? * 11.216700 * t + -0.000015),f(t) = 0.992700 + 0.056600 * sin(2π * 4.167400 * t + -0.746385) + 0.021000 * sin(2π * 2.083300 * t + -0.000015)
4374279,293.96933,39.436089,14.583,0.164656436,0.046472374,0.273959292,0.046715293,0.046229455,1.04543393,0.999748264,f(t) = 0.994600 + 0.064100 * sin(2?? * 5.895100 * t + 2.454585),f(t) = 0.982300 + 0.164700 * sin(2π * 3.375500 * t + -0.180085) + 0.020500 * sin(2π * 6.752400 * t + -0.000015)
6442207,291.58728,41.878208,15.478,0.176348268,-0.111274716,-0.980875494,-0.111320839,-0.111228689,0.082813027,0.999589904,f(t) = 0.976100 + 0.139700 * sin(2?? * 4.407700 * t + 0.000015) + 0.024900 * sin(2?? * 8.814900 * t + -0.000015) + 0.015900 * sin(2?? * 2.204000 * t + 1.414700),f(t) = 0.986300 + 0.117000 * sin(2π * 5.608300 * t + 2.326185) + 0.014500 * sin(2π * 11.216700 * t + -0.000015)
4995588,286.4946,40.146961,14.961,0.179241961,0.003871079,0.091935029,0.003606371,0.004135239,13.66299775,0.999998109,f(t) = 1.000000 + 0.004400 * sin(2?? * 23.749200 * t + -0.333800) + 0.003200 * sin(2?? * 23.154500 * t + -0.871300),f(t) = 0.994600 + 0.064100 * sin(2π * 5.895100 * t + 2.454585)
11852985,284.99982,50.100349,14.373,0.180535826,-0.020873616,-0.41163397,-0.022213004,-0.019539341,12.80724711,0.999987338,f(t) = 0.999900 + 0.012600 * sin(2?? * 19.720300 * t + -2.349485),f(t) = 0.976100 + 0.139700 * sin(2π * 4.407700 * t + 0.000015) + 0.024900 * sin(2π * 8.814900 * t + -0.000015) + 0.015900 * sin(2π * 2.204000 * t + 1.414700)
