,KIC,TIC,spectral_res,R2FFT
0,6231538,171090898,1606804.5035154482,0.22482679429883157
1,6606229,63006029,405685.8388527049,0.5145278936202905
2,6963490,271964023,1083208.4256201026,0.6845932835480928
3,7300184,272708257,8400843.817347497,-1.1483458776209399
4,7900367,271348878,2683578.66164241,0.2536110677003952
5,7915515,268485512,6002743.117045242,-0.5893941953267483
6,9851822,268387233,8312635.8405545335,-1.25614459092116
7,10350769,272078133,7054301.168446154,-0.9862489658968372
8,10355055,273129116,1254561.1480892776,0.6280938584312191
9,10415087,271878019,12246706.661333628,-2.5551182778549335
