,KIC,TIC,spectral_res,R2FFT
0,6231538,171090898,1320995.926783503,0.11198982668153357
1,6606229,63006029,250365.70020342388,0.5447902872356214
2,6963490,271964023,640553.3795348485,0.7283700299949467
3,7300184,272708257,6382786.28830548,-1.675151004779111
4,7900367,271348878,1915353.326633145,0.11838100441504207
5,7915515,268485512,4535404.243035354,-1.1266728367727596
6,9851822,268387233,6563952.769720057,-1.8582622187837603
7,10350769,272078133,5320677.7140189,-1.4344800560218327
8,10355055,273129116,919125.2277583291,0.6276579765707206
9,10415087,271878019,10943550.613690268,-2.9650364602250376
