,KIC,TIC,spectral_res,R2FFT
0,6231538,171090898,1057212.338045386,-1.047308937184007
1,6606229,63006029,120129.96418021091,0.3913439899492175
2,6963490,271964023,398401.96058562835,0.5579028603791898
3,7300184,272708257,3985166.922345847,-3.253895598808141
4,7900367,271348878,1554550.9905712258,-1.1404343521932607
5,7915515,268485512,3150312.3084488884,-5.975624192802683
6,9851822,268387233,4310296.594286695,-4.8820689545909595
7,10350769,272078133,2947847.019169137,-4.793650048194521
8,10355055,273129116,736260.081628037,0.29131508194168865
9,10415087,271878019,8435200.669376604,-4.346028380126472
