KIC,Right Ascension,Declination
6231538,298.64798,41.51173
6606229,291.85559,42.00861
6963490,295.8869,42.454819
7300184,296.78571,42.80331
7900367,294.93735,43.695919
7915515,298.96823,43.679829
9851822,299.00192,46.636791
10350769,295.97668,47.410461
10355055,297.31918,47.407581
10415087,295.79916,47.587009
11027806,290.94797,48.52446
11769929,295.19943,49.980381
12216817,295.79639,50.895988
1849235,286.14963,37.39505
3424493,285.1564,38.505619
3648131,292.09274,38.73053
3965879,294.4754,39.00388
4072890,295.45047,39.110661
8264404,300.94638,44.157139
8330102,300.89816,44.289471
8453431,298.85471,44.452911
8493159,291.02487,44.546383
8585472,299.66873,44.61068
8845312,300.23813,45.093578
9050337,299.98993,45.31699
4544967,286.05136,39.6105
4569150,293.74969,39.678051
4577647,295.71765,39.691494
4940217,295.987,40.076389
5108514,294.36151,40.262749
5358323,290.4848,40.597038
5900260,298.00854,41.197849
9051991,300.42987,45.365898
9306095,300.17462,45.799809
9368220,300.32764,45.868259
9368524,300.42334,45.886761
9649801,292.08319,46.31078
9775887,294.04736,46.569839
9532219,294.21674,46.180222
9594189,294.26056,46.280201
9897710,294.57605,46.734871
9717148,294.62122,46.435741
2581626,292.70682,37.806011
2972514,286.68576,38.17025
3119295,292.05969,38.266869
3953144,291.1925,39.049492
4036687,284.95593,39.14463
4066203,293.87561,39.113762
4243668,285.52716,39.34726
4374279,293.96933,39.436089
4466691,292.27933,39.505081
4547067,286.95959,39.64114
4651526,290.7388,39.770802
4995588,286.4946,40.146961
5027750,295.99509,40.112518
5284701,294.53641,40.446362
5286485,295.00616,40.404041
5353653,289.06549,40.548512
5357882,290.35376,40.550961
5534340,292.07117,40.715
5707205,292.35443,40.945759
5788165,290.88074,41.06081
6304420,297.05414,41.602089
6442207,291.58728,41.878208
6444630,292.41455,41.81065
6778487,292.15759,42.291168
6836820,281.43738,42.32869
6955650,293.93597,42.488461
7048016,295.77335,42.593712
7124161,293.71469,42.61084
7347529,286.4968,42.95118
7521682,289.93637,43.157269
7601767,289.92361,43.219158
7617649,294.77219,43.293789
7668283,286.07773,43.302872
7750215,290.81134,43.468979
7905603,296.4838,43.670799
7937097,280.96948,43.743561
7948091,287.0054,43.754539
7984934,299.14761,43.709431
8052082,298.6944,43.877708
8087649,287.9899,43.966339
8090059,289.11871,43.99369
8144212,281.79269,44.072189
8150307,285.16141,44.017181
8245366,295.89133,44.105434
8248967,296.94406,44.166401
8249829,297.15857,44.166672
8315263,296.99152,44.26968
8393922,300.26193,44.352291
8516900,298.64468,44.532631
8648251,299.10468,44.773991
8649814,299.52292,44.73344
8960514,294.4621,45.259651
8963394,295.38419,45.280109
9075949,285.70135,45.425152
9077483,286.55652,45.47319
9137819,283.36523,45.533569
9202969,284.02448,45.665798
9214444,290.26773,45.692348
9364179,299.10205,45.80669
9594857,294.49481,46.238731
9614153,300.4726,46.210602
9700322,286.96127,46.486633
9706609,290.2919,46.447239
9724292,297.10431,46.445251
9942562,287.51093,46.88287
10451090,282.48297,47.637321
11143576,294.68216,48.705921
11704101,286.94263,49.831631
11852985,284.99982,50.100349
